run_name,protocol,num_clients,alpha,seed,rounds,split_point,run_id,final_round,final_auprc,final_auroc,final_f1,final_precision,final_recall,final_bmr_risk,final_bmr_f1,final_elapsed_time,final_round_time,final_activation_comm_mb,auprc_per_second,f1_per_second,auprc_per_comm_mb,f1_per_comm_mb,round_to_auprc_0.75,time_to_auprc_0.75,comm_to_auprc_0.75_mb,round_to_auprc_0.8,time_to_auprc_0.8,comm_to_auprc_0.8_mb,round_to_auprc_0.85,time_to_auprc_0.85,comm_to_auprc_0.85_mb,round_to_f1_0.75,time_to_f1_0.75,round_to_f1_0.8,time_to_f1_0.8
splitfedv1_c4_alpha1.0_seed10_r50_splitblock3_run26202,splitfedv1,4,1.0,10,50,block3_run26202,,50,0.8047471004623415,0.9541996120964954,0.7682119205298014,0.7631578947368421,0.7733333333333333,0.0245426775745233,0.5276595744680851,280.6291780471802,1.8467586040496824,1390.655517578125,0.002867652986273028,0.002737462746659392,0.0005786818448495689,0.0005524099324523367,1,2.893871068954468,27.8131103515625,7.0,37.207143783569336,194.6917724609375,,,,1,2.893871068954468,1.0,2.893871068954468
splitfedv1_c4_alpha1.0_seed20_r50_run25541,splitfedv1,4,1.0,20,50,unknown,25541.0,50,0.8146548091074468,0.9582454104921452,0.7581699346405227,0.7435897435897436,0.7733333333333333,0.0231557880692391,0.490272373540856,339.2666680812836,2.1385498046875,5562.6220703125,0.0024012226538926208,0.002234731572448124,0.00014645158323000734,0.00013629722189591965,1,3.1097378730773926,111.25244140625,8.0,50.965057611465454,890.01953125,,,,1,3.1097378730773926,1.0,3.1097378730773926
splitfedv1_c4_alpha1.0_seed30_r50_splitblock1_run26216,splitfedv1,4,1.0,30,50,block1_run26216,,50,0.8100934497904889,0.9567881355435628,0.7733333333333333,0.7733333333333333,0.7733333333333333,0.0239808995470664,0.6108374384236454,324.8247492313385,1.8415775299072263,5562.6220703125,0.0024939400452320356,0.0023807709700795284,0.00014563158157264116,0.00013902316633383806,8,48.60486173629761,890.01953125,12.0,74.78516268730164,1335.029296875,,,,1,2.8028430938720703,,
splitfedv1_c4_alpha1.0_seed30_r50_splitblock2_run26218,splitfedv1,4,1.0,30,50,block2_run26218,,50,0.8038449661056486,0.9369832592097784,0.7837837837837838,0.7945205479452054,0.7733333333333333,0.0238931217302763,0.6262626262626263,288.2049479484558,1.5041682720184326,2781.31103515625,0.0027891435307676004,0.002719536182022663,0.0002890165666280793,0.0002818037155415636,4,20.051466464996334,222.5048828125,12.0,66.66117334365845,667.5146484375,,,,1,2.591272354125977,1.0,2.591272354125977
splitfedv1_c4_alpha1.0_seed30_r50_splitblock3_run26220,splitfedv1,4,1.0,30,50,block3_run26220,,50,0.8121970310229077,0.948316721453642,0.7073170731707317,0.651685393258427,0.7733333333333333,0.0226115656051402,0.5575221238938053,257.2830469608307,1.436673641204834,1390.655517578125,0.003156822964501654,0.002749178702312302,0.00058403898072283,0.000508621340245749,10,49.22531700134277,278.131103515625,18.0,90.93582606315611,500.635986328125,,,,1,2.477064371109009,1.0,2.477064371109009
splitfedv1_c4_alpha100_seed10_r50_splitblock1_run26192,splitfedv1,4,100.0,10,50,block1_run26192,,50,0.8095832083207151,0.9704416357574372,0.7564102564102564,0.728395061728395,0.7866666666666666,0.0235946771531898,0.3342036553524804,297.19074296951294,1.1877083778381348,5562.6220703125,0.002724119870731524,0.002545201269905813,0.00014553985478205135,0.0001359808821899278,1,2.2494168281555176,111.25244140625,5.0,26.274529218673703,556.26220703125,,,,1,2.2494168281555176,1.0,2.2494168281555176
splitfedv1_c4_alpha100_seed10_r50_splitblock2_run26194,splitfedv1,4,100.0,10,50,block2_run26194,,50,0.8115212978050687,0.9678713941673844,0.7866666666666666,0.7866666666666666,0.7866666666666666,0.0239106772936343,0.3192019950124688,258.12795782089233,0.9557461738586426,2781.31103515625,0.0031438721502928414,0.0030475841257478677,0.00029177653543501603,0.00028284023495504985,1,2.022979259490967,55.626220703125,7.0,33.20456647872925,389.383544921875,,,,1,2.022979259490967,1.0,2.022979259490967
splitfedv1_c4_alpha100_seed10_r50_splitblock3_run26196,splitfedv1,4,100.0,10,50,block3_run26196,,50,0.8174780558241819,0.9678231113142428,0.7763157894736842,0.7662337662337663,0.7866666666666666,0.0232084547593132,0.3545706371191136,230.0190167427063,0.834399938583374,1390.655517578125,0.0035539585700368114,0.003375006990583097,0.0005878364882540058,0.0005582373058323352,1,1.8842620849609373,27.8131103515625,8.0,34.61565971374512,222.5048828125,,,,1,1.8842620849609373,1.0,1.8842620849609373
splitfedv1_c4_alpha100_seed20_r50_run25545,splitfedv1,4,100.0,20,50,unknown,25545.0,50,0.8145512922922686,0.9832690538553038,0.8000000000000002,0.8285714285714286,0.7733333333333333,0.0231557880692391,0.3575418994413408,297.72367119789124,1.224320411682129,5562.6220703125,0.0027359305661351055,0.0026870554053737145,0.00014643297387386742,0.00014381706862121182,1,2.348600149154663,111.25244140625,8.0,44.48356699943543,890.01953125,,,,1,2.348600149154663,1.0,2.348600149154663
splitfedv1_c4_alpha100_seed30_r50_splitblock1_run26210,splitfedv1,4,100.0,30,50,block1_run26210,,50,0.8102991106985433,0.9697219634245668,0.8000000000000002,0.8285714285714286,0.7733333333333333,0.0226115656051402,0.3914373088685015,299.9456539154053,1.1799614429473877,5562.6220703125,0.0027014864196934648,0.0026671498305010513,0.00014566855350879913,0.00014381706862121182,6,32.41542911529541,667.5146484375,39.0,232.9472177028656,4338.84521484375,,,,1,2.298147201538086,1.0,2.298147201538086
splitfedv1_c4_alpha100_seed30_r50_splitblock2_run26212,splitfedv1,4,100.0,30,50,block2_run26212,,50,0.8143176057119498,0.9796773721002454,0.8027210884353742,0.8194444444444444,0.7866666666666666,0.0236824549699799,0.4390243902439024,260.1131901741028,1.006939172744751,2781.31103515625,0.003130627882295776,0.003086045301655349,0.0002927819274503409,0.00028861248464801003,10,49.63757538795471,556.26220703125,31.0,160.411705493927,1724.412841796875,,,,1,2.0958166122436523,1.0,2.0958166122436523
splitfedv1_c4_alpha100_seed30_r50_splitblock3_run26214,splitfedv1,4,100.0,30,50,block3_run26214,,50,0.8117473321963157,0.9659795735405278,0.8142857142857143,0.876923076923077,0.76,0.0234191215196095,0.4632352941176471,231.58711075782776,0.9013025760650636,1390.655517578125,0.0035051490108409596,0.0035161098198475235,0.0005837156088878157,0.0005855409222435052,11,49.10519480705261,305.9442138671875,35.0,161.35677337646484,973.4588623046875,,,,1,1.9277148246765137,1.0,1.9277148246765137
splitfedv2_c2_alpha0.5_seed10_r50_splitblock1_run26229,splitfedv2,2,0.5,10,50,block1_run26229,,50,0.7860100797777773,0.9709378241074412,0.7586206896551724,0.7857142857142857,0.7333333333333333,0.028685790527018,0.4460966542750929,294.969607591629,2.5274546146392822,5562.6220703125,0.002664715481013114,0.002571860524374584,0.00014130208197545593,0.00013637825472701117,1,3.493141889572144,111.25244140625,6.0,33.32572650909424,667.5146484375,,,,1,3.493141889572144,1.0,3.493141889572144
splitfedv2_c2_alpha0.5_seed30_r50_splitblock1_run26235,splitfedv2,2,0.5,30,50,block1_run26235,,50,0.8153908144060343,0.9678965903164752,0.8201438848920863,0.890625,0.76,0.025578455812647,0.3189873417721519,321.0260093212128,2.90118670463562,5562.6220703125,0.0025399524983353264,0.0025547583718410344,0.000146583895885673,0.0001474383617159905,3,16.930793285369873,333.75732421875,3.0,16.930793285369873,333.75732421875,,,,1,3.991264343261719,1.0,3.991264343261719
splitfedv2_c3_alpha0.5_seed10_r50_splitblock1_run26231,splitfedv2,3,0.5,10,50,block1_run26231,,50,0.8050796216263196,0.977820826082116,0.778523489932886,0.7837837837837838,0.7733333333333333,0.026210456093536,0.5327510917030569,342.7912664413452,3.2261555194854736,5562.6220703125,0.0023486001553778683,0.00227112988616966,0.00014473023898621453,0.00013995620771862895,1,4.17375636100769,111.25244140625,4.0,24.891371965408325,445.009765625,,,,1,4.17375636100769,5.0,31.674043893814087
splitfedv2_c3_alpha0.5_seed30_r50_splitblock1_run26237,splitfedv2,3,0.5,30,50,block1_run26237,,50,0.7952623758887101,0.9658963676528324,0.7354838709677418,0.7125,0.7600000000000001,0.0422386854394157,0.0801457194899817,310.59590244293213,2.655250310897827,5562.6220703125,0.0025604406549916705,0.0023679767349888887,0.00014296537960631817,0.00013221891792595275,1,3.603863000869751,111.25244140625,12.0,72.77384400367737,1335.029296875,,,,1,3.603863000869751,1.0,3.603863000869751
splitfedv2_c4_alpha0.1_seed20_r50_run25547,splitfedv2,4,0.1,20,50,unknown,25547.0,50,0.8242075505731729,0.9838674330983646,0.8111888111888111,0.8529411764705882,0.7733333333333333,0.0207857870159053,0.4012345679012346,350.45276165008545,2.2218575477600098,5562.6220703125,0.002351836369308211,0.0023146880263387798,0.0001481688923236286,0.0001458284961543756,1,3.346989154815674,111.25244140625,1.0,3.346989154815674,111.25244140625,,,,1,3.346989154815674,1.0,3.346989154815674
splitfedv2_c4_alpha0.5_seed10_r50_splitblock1_run26169,splitfedv2,4,0.5,10,50,block1_run26169,,50,0.7852718107363688,0.9512415841932252,0.7567567567567568,0.7671232876712328,0.7466666666666667,0.0269653453179312,0.7017543859649122,386.0712015628815,3.072121381759644,5562.6220703125,0.0020340077362866115,0.0019601481635855705,0.00014116936236371948,0.0001360431730200652,1,4.036778450012207,111.25244140625,4.0,27.457348346710205,445.009765625,,,,1,4.036778450012207,1.0,4.036778450012207
splitfedv2_c4_alpha0.5_seed10_r50_splitblock1_run26205,splitfedv2,4,0.5,10,50,block1_run26205,,50,0.7808175534001799,0.9736384997158108,0.7284768211920529,0.7236842105263158,0.7333333333333333,0.0257189003195112,0.4105960264900662,386.28523087501526,3.0603244304656982,5562.6220703125,0.0020213497462263003,0.0018858521190207131,0.00014036861457250046,0.00013095925122792463,1,4.025236368179321,111.25244140625,4.0,27.60093855857849,445.009765625,,,,1,4.025236368179321,1.0,4.025236368179321
splitfedv2_c4_alpha0.5_seed10_r50_splitblock1_run26233,splitfedv2,4,0.5,10,50,block1_run26233,,50,0.7688791480280752,0.9799117548824864,0.7647058823529411,0.8524590163934426,0.6933333333333334,0.0325304589024261,0.6162162162162163,384.3236451148987,3.047306060791016,5562.6220703125,0.0020006032878830773,0.0019897445605365294,0.0001382224314917157,0.00013747219794674656,1,3.99044132232666,111.25244140625,2.0,11.834928512573242,222.5048828125,,,,1,3.99044132232666,1.0,3.99044132232666
splitfedv2_c4_alpha0.5_seed10_r50_splitblock2_run26174,splitfedv2,4,0.5,10,50,block2_run26174,,50,0.776465968435516,0.9323050960676428,0.8307692307692308,0.9818181818181818,0.72,0.0334257926336856,0.8296296296296297,350.43197989463806,2.9511749744415283,2781.31103515625,0.0022157394672397495,0.0023707003881866385,0.0002791726486613157,0.0002986969886748245,1,3.8879334926605225,55.626220703125,3.0,18.022611141204838,166.878662109375,,,,1,3.8879334926605225,1.0,3.8879334926605225
splitfedv2_c4_alpha0.5_seed10_r50_splitblock2_run26207,splitfedv2,4,0.5,10,50,block2_run26207,,50,0.7742995131874739,0.915931818048646,0.8270676691729322,0.9482758620689656,0.7333333333333333,0.0316702362978828,0.8382352941176471,352.295777797699,2.97694993019104,2781.31103515625,0.0021978677065840535,0.002347651380732313,0.00027839371555363456,0.0002973661193295732,1,3.867544889450073,55.626220703125,3.0,18.21896386146545,166.878662109375,,,,1,3.867544889450073,1.0,3.867544889450073
splitfedv2_c4_alpha0.5_seed10_r50_splitblock3_run26176,splitfedv2,4,0.5,10,50,block3_run26176,,50,0.7873525345422914,0.9683266827218872,0.7874015748031497,0.9615384615384616,0.6666666666666666,0.0300726800323022,0.7945205479452054,326.48397731781006,2.8862223625183105,1390.655517578125,0.0024116115621069423,0.0024117617693583397,0.0005661736674467688,0.000566208931579574,1,3.7937943935394287,27.8131103515625,5.0,30.247016191482544,139.0655517578125,,,,1,3.7937943935394287,1.0,3.7937943935394287
